"oid","typname"
16,"bool"
17,"bytea"
18,"char"
19,"name"
20,"int8"
21,"int2"
22,"int2vector"
23,"int4"
24,"regproc"
25,"text"
26,"oid"
27,"tid"
28,"xid"
29,"cid"
30,"oidvector"
114,"json"
142,"xml"
5069,"xid8"
600,"point"
601,"lseg"
602,"path"
603,"box"
604,"polygon"
628,"line"
700,"float4"
701,"float8"
705,"unknown"
718,"circle"
790,"money"
829,"macaddr"
869,"inet"
650,"cidr"
774,"macaddr8"
1033,"aclitem"
1042,"bpchar"
1043,"varchar"
1082,"date"
1083,"time"
1114,"timestamp"
1184,"timestamptz"
1186,"interval"
1266,"timetz"
1560,"bit"
1562,"varbit"
1700,"numeric"
1790,"refcursor"
2202,"regprocedure"
2203,"regoper"
2204,"regoperator"
2205,"regclass"
4191,"regcollation"
2206,"regtype"
4096,"regrole"
4089,"regnamespace"
2950,"uuid"
3614,"tsvector"
3642,"gtsvector"
3615,"tsquery"
3734,"regconfig"
3769,"regdictionary"
3802,"jsonb"
4072,"jsonpath"
2970,"txid_snapshot"
3904,"int4range"
3906,"numrange"
3908,"tsrange"
3910,"tstzrange"
3912,"daterange"
3926,"int8range"
4451,"int4multirange"
4532,"nummultirange"
4533,"tsmultirange"
4534,"tstzmultirange"
4535,"datemultirange"
4536,"int8multirange"
2249,"record"
2275,"cstring"
2278,"void"
2279,"trigger"
3838,"event_trigger"
2280,"language_handler"
2281,"internal"
3115,"fdw_handler"
325,"index_am_handler"
3310,"tsm_handler"
269,"table_am_handler"
13197,"cardinal_number"
13200,"character_data"
13202,"sql_identifier"
13205,"information_schema_catalog_name"
13208,"time_stamp"
13210,"yes_or_no"
13214,"applicable_roles"
13223,"attributes"
13228,"character_sets"
13233,"check_constraint_routine_usage"
13238,"check_constraints"
13243,"collations"
13248,"collation_character_set_applicability"
13253,"column_column_usage"
13258,"column_domain_usage"
13263,"column_privileges"
13268,"column_udt_usage"
13273,"columns"
13278,"constraint_column_usage"
13283,"constraint_table_usage"
13288,"domain_constraints"
13293,"domain_udt_usage"
13298,"domains"
13303,"enabled_roles"
13307,"key_column_usage"
13312,"parameters"
13317,"referential_constraints"
13322,"role_column_grants"
13326,"routine_column_usage"
13331,"routine_privileges"
13336,"role_routine_grants"
13340,"routine_routine_usage"
13345,"routine_sequence_usage"
13350,"routine_table_usage"
13355,"routines"
13360,"schemata"
13364,"sequences"
13369,"sql_features"
13374,"sql_implementation_info"
13379,"sql_parts"
13384,"sql_sizing"
13389,"table_constraints"
13394,"table_privileges"
13399,"role_table_grants"
13403,"tables"
13408,"transforms"
13413,"triggered_update_columns"
13418,"triggers"
13423,"udt_privileges"
13428,"role_udt_grants"
13432,"usage_privileges"
13437,"role_usage_grants"
13441,"user_defined_types"
13466,"data_type_privileges"
13471,"element_types"
13481,"column_options"
13528,"user_mapping_options"
13533,"user_mappings"
16564,"a"
